traveltime,studytime,failures,famrel,freetime,goout,health,FirstPeriodGrade,SecondPeriodGrade,FinalGrade
2,2,0,4,3,4,3,0,11,11
1,2,0,5,3,3,3,9,11,11
1,2,0,4,3,2,3,12,13,12
1,3,0,3,2,2,5,14,14,14
1,2,0,4,3,2,5,11,13,13
1,2,0,5,4,2,5,12,12,13
1,2,0,4,4,4,3,13,12,13
2,2,0,4,1,4,1,10,13,13
1,2,0,4,2,2,1,15,16,17
1,2,0,5,5,1,5,12,12,13
1,2,0,3,3,3,2,14,14,14
3,3,0,5,2,2,4,10,12,13
1,1,0,4,3,3,5,12,13,12
2,2,0,5,4,3,3,12,12,13
1,3,0,4,5,2,3,14,14,15
1,1,0,4,4,4,2,17,17,17
1,3,0,3,2,3,2,13,13,14
3,2,0,5,3,2,4,13,14,14
1,1,3,5,5,5,5,8,8,7
1,1,0,3,1,3,5,12,12,12
1,2,0,4,4,1,1,12,13,14
1,1,0,5,4,2,5,11,12,12
1,2,0,4,5,1,5,12,13,14
2,2,0,5,4,4,5,10,10,10
1,3,0,4,3,2,5,10,11,10
1,1,0,1,2,2,5,10,11,12
1,1,0,4,2,2,5,11,12,12
1,1,0,2,2,4,1,11,11,11
1,2,0,5,3,3,5,12,12,13
1,2,0,4,4,5,5,12,11,12
1,2,0,5,4,2,5,10,11,11
2,2,0,4,3,1,5,15,15,15
1,2,0,4,5,2,5,13,14,15
1,2,0,5,3,2,2,13,12,12
1,1,0,5,4,3,5,12,12,12
2,1,0,3,5,1,5,11,11,11
1,3,0,5,4,3,4,14,14,14
2,3,0,2,4,3,5,13,13,13
1,3,0,4,3,2,5,11,12,12
1,1,0,4,3,1,2,14,13,12
2,2,0,3,3,3,3,11,11,10
1,1,0,5,4,3,5,10,11,11
1,2,0,4,3,3,5,14,15,15
1,1,0,5,4,1,1,9,10,10
2,2,1,4,3,3,5,10,11,11
1,2,0,5,2,2,5,10,11,11
1,2,0,2,3,5,3,13,12,13
1,4,0,4,2,2,2,17,17,17
1,2,0,4,3,3,5,11,12,13
1,2,0,4,4,4,3,13,12,12
3,2,0,4,3,3,4,14,13,13
1,2,0,4,3,3,5,16,14,16
2,1,0,5,5,5,5,10,9,9
1,1,0,3,3,4,5,13,12,12
1,1,0,5,3,4,1,13,12,13
1,2,0,5,3,4,2,12,13,12
1,2,0,4,3,2,1,15,14,15
1,2,0,3,2,2,5,15,15,16
1,2,0,4,3,2,5,14,13,14
1,2,0,4,2,3,5,16,15,16
1,2,0,2,4,4,4,17,16,16
4,1,0,5,5,5,5,10,10,16
1,2,0,4,4,3,1,13,13,10
1,3,0,3,4,4,4,14,13,13
1,2,0,4,4,4,2,13,12,12
3,2,0,5,4,3,1,16,15,16
1,4,0,1,3,3,3,11,12,12
1,4,0,4,3,3,5,10,9,10
2,2,0,4,1,3,4,11,10,11
2,4,0,4,4,2,3,15,15,15
2,4,0,4,3,2,5,13,11,11
1,4,0,3,3,3,3,11,9,10
1,2,0,3,3,4,5,13,11,11
1,1,0,5,3,2,5,13,13,14
1,2,0,4,3,3,5,11,11,11
1,2,0,4,3,3,5,11,11,11
2,4,0,3,4,3,1,12,11,11
1,4,0,5,2,3,3,13,13,13
2,1,3,4,5,1,3,9,9,10
1,2,0,2,4,3,3,12,11,11
1,1,0,3,2,2,3,11,11,12
1,3,0,5,3,2,5,10,9,9
1,2,0,4,4,4,5,12,11,11
2,2,0,5,3,3,4,13,12,13
1,2,0,4,3,2,4,13,12,12
2,2,0,4,4,4,5,12,11,12
1,2,0,4,3,4,2,13,11,11
1,3,0,5,3,3,1,15,15,15
2,2,0,4,4,2,3,12,10,11
1,2,0,4,1,3,5,9,9,10
1,3,0,4,3,3,4,9,11,11
1,1,0,4,5,5,1,14,13,13
1,2,0,3,3,3,2,12,13,12
2,2,0,5,3,3,1,13,14,14
1,4,0,4,3,4,4,11,12,12
2,4,0,3,1,2,1,13,13,13
2,1,0,3,3,3,4,9,11,11
1,2,0,4,3,5,5,13,12,12
1,1,0,5,3,4,1,12,13,13
1,3,0,5,3,5,3,12,13,13
1,1,0,4,5,5,4,9,9,8
1,3,0,4,4,3,4,16,16,16
1,1,0,5,3,3,5,12,13,12
2,2,0,4,3,5,2,11,10,10
1,2,0,5,4,4,1,16,16,16
1,4,0,4,3,3,4,10,10,10
